SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA1,VCEPEERA,ExaminerCommentary,Question 1,Correct answer: D,,,1
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA2,VCEPEERA,ExaminerCommentary,Question 2,Correct answer: D,,,2
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA3,VCEPEERA,ExaminerCommentary,Question 3,Correct answer: A,,,3
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA4,VCEPEERA,ExaminerCommentary,Question 4,Correct answer: B,,,4
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA5,VCEPEERA,ExaminerCommentary,Question 5,Correct answer: C,,,5
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA6,VCEPEERA,ExaminerCommentary,Question 6,Correct answer: B,,,6
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA7,VCEPEERA,ExaminerCommentary,Question 7,Correct answer: C,It is an increase in size and number of mitochondria that directly leads to a delayed lactate inflection point (LIP).,,7
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA8,VCEPEERA,ExaminerCommentary,Question 8,Correct answer: D,,,8
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA9,VCEPEERA,ExaminerCommentary,Question 9,Correct answer: C,,,9
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA10,VCEPEERA,ExaminerCommentary,Question 10,Correct answer: C,,,10
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA11,VCEPEERA,ExaminerCommentary,Question 11,Correct answer: B,,,11
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA12,VCEPEERA,ExaminerCommentary,Question 12,Correct answer: B,,,12
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA13,VCEPEERA,ExaminerCommentary,Question 13,Correct answer: A,,,13
