SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,Mark,Grade,EQCode,EQSection,EQHeader,ISCode,EQDescription
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,10,A+,VCEE12A01,A,Analytical response to a text,VCEE12AIS01,"Demonstrates a close and perceptive reading of the text, considering complexities of its ideas, concerns and values explored through the structure of the text and its language"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,10,A+,VCEE12A02,A,Analytical response to a text,VCEE12AIS02,"Demonstrates a clear understanding of the implications of the topic, using an appropriate strategy for dealing with it, and exploring its complexity from the basis of the text"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,10,A+,VCEE12A03,A,Analytical response to a text,VCEE12AIS03,"Develops a cogent, controlled and well-substantiated discussion using precise and expressive language"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,9,A,VCEE12A04,A,Analytical response to a text,VCEE12AIS01,"Demonstrates a close and perceptive reading of the text, considering complexities of its ideas, concerns and values explored through the structure of the text and its language"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,9,A,VCEE12A05,A,Analytical response to a text,VCEE12AIS02,"Demonstrates a clear understanding of the implications of the topic, using an appropriate strategy for dealing with it, and exploring its complexity from the basis of the text"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,9,A,VCEE12A06,A,Analytical response to a text,VCEE12AIS03,"Develops a cogent, controlled and well-substantiated discussion using precise and expressive language"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,8,B+,VCEE12A07,A,Analytical response to a text,VCEE12AIS01,"Demonstrates a thoughtful reading of the text, exploring its ideas, concerns and values through a discussion of the structure of the text and its language"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,8,B+,VCEE12A08,A,Analytical response to a text,VCEE12AIS02,"Demonstrates an understanding of the implications of the topic, exploring it from the basis of the text"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,8,B+,VCEE12A09,A,Analytical response to a text,VCEE12AIS03,"Develops a detailed, substantiated and coherent discussion using language fluently and confidently"
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,7,B,VCEE12A10,A,Analytical response to a text,VCEE12AIS01,"Demonstrates detailed knowledge of the text throughout, including some of its ideas, concerns and values by appropriately acknowledging aspects of the structure of the text and its language"
